cloud,check_id,check_title,service,category,severity,status,resource,detail,cis,remediation
gcp,GCP-CR-002,Cloud Run accepts all internet traffic,Cloud Run,Network Security,MEDIUM,FAIL,run:public-api,Cloud Run service accepts traffic from the internet (ingress all).,,Restrict ingress to internal/LB traffic.
gcp,GCP-MEM-001,Memorystore transit encryption disabled,Memorystore,Network Security,HIGH,FAIL,memorystore:cache-legacy,Memorystore transit encryption (TLS) is disabled.,,Enable transit encryption (SERVER_AUTHENTICATION).
gcp,GCP-MEM-002,Memorystore AUTH disabled,Memorystore,Identity & Access,MEDIUM,FAIL,memorystore:cache-legacy,Memorystore AUTH is disabled; anyone who can reach the instance can read/write data.,,Enable AUTH with a strong password or IAM auth.
gcp,GCP-MEM-003,Memorystore instance has public IP,Memorystore,Network Security,MEDIUM,FAIL,memorystore:cache-legacy,Memorystore instance has a public IP; no private service connect.,,Use Private Service Connect / VPC peering with private IPs.
gcp,GCP-CMP-004,Serial port access enabled,Compute,Compute,MEDIUM,FAIL,instance:legacy-vm,Serial port access is enabled; interactive console access bypasses SSH controls.,,Disable serial-port-enable metadata on instances.
gcp,GCP-CMP-005,Confidential computing not enabled,Compute,Data Protection,LOW,FAIL,instance:legacy-vm,Confidential computing is not enabled on the instance.,,Enable confidential computing on sensitive workloads.
gcp,GCP-ST-007,Bucket access logging disabled,Cloud Storage,Logging & Monitoring,MEDIUM,FAIL,gs://demo-legacy-public,Access logging is not enabled on the bucket.,,Enable access logging to a dedicated log bucket.
gcp,GCP-IAM-006,Primitive role assigned to a service account,IAM,Identity & Access,HIGH,PASS,project-iam,No primitive roles on service accounts.,,Replace primitive roles with least-privilege roles.
gcp,GCP-CR-003,Cloud Run CPU throttling disabled,Cloud Run,Cost & Security Posture,LOW,FAIL,run:internal-svc,CPU is always allocated (throttling disabled); billing and attack surface increase.,,Re-enable CPU throttling for request-driven services.
gcp,GCP-CR-004,Cloud Run unlimited max instances,Cloud Run,Resilience,MEDIUM,FAIL,run:internal-svc,Maximum instances is unlimited; a traffic spike can scale without bound.,,Set a maximum instance count per service.
gcp,GCP-AR-001,Artifact Registry repository public,Artifact Registry,Network Security,HIGH,FAIL,artifact:legacy-images,Artifact Registry repository is publicly readable.,,Remove allUsers/allAuthenticatedUsers from repository IAM.
gcp,GCP-AR-002,Artifact Registry without CMK,Artifact Registry,Data Protection,LOW,FAIL,artifact:legacy-images,Repository is not encrypted with a customer-managed key.,,Configure a customer-managed encryption key.
gcp,GCP-GKE-008,GKE node auto-upgrade disabled,GKE,Kubernetes,MEDIUM,FAIL,gke:legacy-cluster,Node auto-upgrade is disabled; node OS and kubelet fixes are applied late.,,Enable node auto-upgrade on all node pools.
gcp,GCP-GKE-009,GKE node auto-repair disabled,GKE,Kubernetes,MEDIUM,FAIL,gke:legacy-cluster,Node auto-repair is disabled; unhealthy nodes are not replaced automatically.,,Enable node auto-repair on all node pools.
gcp,GCP-CMP-006,Instance deletion protection disabled,Compute,Data Protection,MEDIUM,FAIL,vm:legacy-vm,Instance deletion protection is disabled; an accidental delete destroys the VM.,,Enable deletion protection on production instances.
gcp,GCP-ORG-003,OS Login not enforced,Organization Policies,Identity & Access,HIGH,FAIL,org-policy,OS Login is not enforced; instances rely on SSH keys that are hard to revoke.,CIS GCP 4.7,Enforce the compute.requireOsLogin organization constraint.
gcp,GCP-SQL-006,Cloud SQL point-in-time recovery disabled,Cloud SQL,Backup & Recovery,MEDIUM,FAIL,sql:legacy-db,Point-in-time recovery is disabled; data can only be restored to the last backup.,,Enable point-in-time recovery in backup configuration.
gcp,GCP-MEM-004,Memorystore persistence disabled,Memorystore,Backup & Recovery,LOW,FAIL,redis:cache-legacy,Persistence is disabled; cached data is lost on failover or maintenance.,,Enable RDB/AOF persistence on production caches.
gcp,GCP-FUNC-001,Cloud Function publicly invokable,Cloud Functions,Network Security,HIGH,FAIL,fn:pub-fn,Cloud Function is publicly invokable by any caller.,,Require authentication on the function trigger.
gcp,GCP-FUNC-002,Cloud Function without VPC connector,Cloud Functions,Network Security,MEDIUM,FAIL,fn:pub-fn,Cloud Function has no VPC connector; it cannot reach private resources securely.,,Attach a VPC connector for private resource access.
gcp,GCP-VPN-001,VPN tunnel using IKEv1,Cloud VPN,Network Security,MEDIUM,FAIL,vpn:tunnel-legacy,Tunnel uses IKEv1; the deprecated protocol is weaker and unsupported for new use.,,Recreate tunnels with IKEv2.
gcp,GCP-WI-001,Workload identity pool without provider,Workload Identity,Identity & Access,MEDIUM,FAIL,wipool:legacy-pool,Workload identity pool has no OIDC/JWT provider; external federation cannot be trusted.,,Add an OIDC/JWT provider to the pool or remove it.
gcp,GCP-NET-003,VPC firewall logging disabled,VPC Network,Logging & Monitoring,MEDIUM,FAIL,fw:allow-ssh-legacy,Firewall rule logging is disabled; denied/allowed traffic is not recorded.,,Enable firewall rule logging for production rules.
gcp,GCP-GKE-010,GKE Binary Authorization disabled,GKE,Kubernetes,MEDIUM,FAIL,gke:legacy-cluster,Binary Authorization is disabled; unsigned or malicious images can be deployed.,,Enable Binary Authorization (GKE default deny) on clusters.
gcp,GCP-CR-005,Cloud Run without VPC connector,Cloud Run,Network Security,MEDIUM,FAIL,run:public-api,Cloud Run service has no VPC connector; it cannot reach private resources securely.,,Attach a VPC connector to the service.
gcp,GCP-VA-001,Vertex AI notebook with public external IP,Vertex AI,Network Security,HIGH,FAIL,vertex-notebook:ml-lab-legacy,Vertex AI notebook has a public external IP; Jupyter access and the instance are reachable from the internet.,,Create notebooks in a VPC with no external IP; access via IAP or a bastion host.
gcp,GCP-VA-002,Vertex AI notebook without CMEK,Vertex AI,Data Protection,MEDIUM,FAIL,vertex-notebook:ml-lab-legacy,Vertex AI notebook disks are not encrypted with a customer-managed key (CMEK).,,Attach a customer-managed encryption key (CMEK) when creating the notebook instance.
gcp,GCP-PS-001,Pub/Sub topic not CMEK-encrypted,Pub/Sub,Data Protection,MEDIUM,FAIL,pubsub:events-legacy,Pub/Sub topic is not encrypted with a customer-managed key (CMEK); message data is protected only by Google-managed keys.,,Enable customer-managed encryption (CMEK) on the topic at creation time.
