cloud,check_id,check_title,service,category,severity,status,resource,detail,cis,remediation
oci,OCI-BV-003,Volume has no cross-region replica,Block Storage,Backup & Recovery,LOW,FAIL,volume:legacy-block,Volume has no cross-region replica; data is lost if the region fails.,,Create cross-region volume replicas for critical volumes.
oci,OCI-NET-010,Default route targets internet gateway,VCN/Route Tables,Network Security,MEDIUM,FAIL,routetable:rt-legacy,Route table sends 0.0.0.0/0 to an internet gateway; workloads get direct public egress.,,Route default traffic via NAT gateway and restrict IGW routes.
oci,OCI-NET-011,No NAT gateway,VCN/NAT,Network Security,MEDIUM,PASS,nat-gateway,A NAT gateway provides controlled egress.,,Deploy a NAT gateway and route egress through it.
oci,OCI-OSMS-002,No OSMS managed instance groups,OS Management,Security Posture,MEDIUM,FAIL,osms,No OSMS managed instance groups; instances have no scheduled patch baseline.,,Create OSMS managed instance groups and attach patch baselines.
oci,OCI-AUDIT-001,Audit log retention below 90 days,Audit,Logging & Monitoring,MEDIUM,FAIL,audit,Audit log retention is 60 days (< 90); forensic history is lost too early.,CIS OCI 3.1,Raise audit retention period to >= 90 days.
oci,OCI-DB-004,ADB backup retention below 7 days,Autonomous Database,Backup & Recovery,MEDIUM,FAIL,adb:legacy-adb,Backup retention is 3 days (< 7); recovery options are limited.,,Set backup retention to at least 7 days.
oci,OCI-OS-006,Pre-authenticated request without expiration,Object Storage,Network Security,HIGH,FAIL,bucket:demo-legacy-share,2 pre-authenticated request(s) have no expiration; temporary access never expires.,,Set an expiration on every pre-authenticated request.
oci,OCI-IAM-006,OCI API key older than 90 days,IAM,Identity & Access,MEDIUM,FAIL,user:demo.svc,API key is 240 days old (> 90); rotate to limit leaked-key blast radius.,CIS OCI 1.8,Rotate user API keys every 90 days.
oci,OCI-NOSQL-001,NoSQL table without throughput limits,NoSQL Database,Cost & Resilience,MEDIUM,FAIL,nosql:legacy-orders,Table has no throughput limits; a traffic spike can drive unbounded cost.,,Define max read/write throughput on every NoSQL table.
oci,OCI-DNS-001,DNS zone without DNSSEC,DNS,Network Security,HIGH,FAIL,dns,"2/3 zone(s) lack DNSSEC: legacy.example.com, internal.example.com.",,Enable DNSSEC on all public DNS zones.
oci,OCI-DB-005,DB system without backups,Database,Backup & Recovery,CRITICAL,FAIL,database,DB systems exist but no backups are configured; data is unprotected against loss.,,Configure automated backups for all DB systems.
oci,OCI-DB-006,ADB auto-scaling disabled,Autonomous Database,Resilience,LOW,FAIL,adb:legacy-adb,Auto-scaling is disabled; the database cannot grow under load.,,Enable auto-scaling on production ADBs.
oci,OCI-AG-001,API Gateway without WAF policy,API Gateway,Security Posture,MEDIUM,FAIL,apigateway:gw-legacy,API Gateway has no OCI WAF policy attached; API traffic is not filtered for common web attacks.,,Attach an OCI WAF policy (managed protection rules) to the API Gateway.
oci,OCI-AG-002,Public API Gateway without enforced TLS,API Gateway,Network Security,MEDIUM,FAIL,apigateway:gw-legacy,Public API Gateway endpoint does not enforce a TLS/HTTPS certificate; clients can fall back to plaintext.,,Attach a TLS certificate to the gateway's public endpoint and redirect HTTP to HTTPS.
